time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),rain_moving_avg
2020-04-24,7.891666666666667,0.6875,0.6875,98.0,87.20833333333333,99.625,76.33333333333333,14.295833333333333,50.166666666666664,0.22916666666666655
2020-04-25,10.075000000000001,0.0,0.0,52.75,46.125,10.791666666666666,19.333333333333332,6.816666666666666,212.5,0.15595238095238084
2020-04-26,9.545833333333333,0.22916666666666666,0.22916666666666666,87.29166666666667,40.666666666666664,81.79166666666667,69.29166666666667,15.820833333333333,85.5,0.1886904761904761
2020-04-27,7.2250000000000005,0.08333333333333333,0.08333333333333333,97.66666666666667,88.29166666666667,74.91666666666667,29.541666666666668,19.3125,195.875,0.20059523809523797
2020-04-28,9.920833333333333,0.0,0.0,31.208333333333332,5.333333333333333,38.833333333333336,10.583333333333334,11.741666666666667,310.5833333333333,0.14285714285714274
2020-04-29,10.733333333333334,0.004166666666666667,0.004166666666666667,50.291666666666664,30.375,50.583333333333336,33.5,11.229166666666666,121.95833333333333,0.14345238095238083
2020-04-30,12.629166666666668,0.30833333333333335,0.30833333333333335,98.70833333333333,80.875,62.75,96.58333333333333,23.90416666666667,121.83333333333333,0.18749999999999986
2020-05-01,14.708333333333334,1.5125,1.5125,92.875,80.45833333333333,60.916666666666664,66.83333333333333,12.604166666666666,193.79166666666666,0.30535714285714277
2020-05-02,15.670833333333334,0.008333333333333333,0.008333333333333333,12.375,2.7083333333333335,6.333333333333333,20.208333333333332,15.983333333333334,310.7916666666667,0.30654761904761896
2020-05-03,17.766666666666666,0.17916666666666667,0.17916666666666667,39.458333333333336,1.75,37.458333333333336,51.208333333333336,12.670833333333334,238.04166666666666,0.2994047619047618
2020-05-04,17.745833333333334,0.016666666666666666,0.016666666666666666,30.916666666666668,1.0416666666666667,28.583333333333332,42.625,13.525,268.25,0.2898809523809523
2020-05-05,11.904166666666667,0.0,0.0,23.666666666666668,0.0,17.25,44.208333333333336,15.158333333333333,302.2916666666667,0.2898809523809523
2020-05-06,10.9375,0.15,0.15,49.541666666666664,11.291666666666666,59.208333333333336,13.916666666666666,11.083333333333334,78.66666666666667,0.31071428571428555
2020-05-07,11.441666666666668,0.0,0.0,26.333333333333332,4.625,33.958333333333336,6.083333333333333,11.858333333333334,297.2916666666667,0.26666666666666655
